id,match,chunk,frame,team_tracked,carrier_dist_m,player_name,confidence_1to3,notes
021_manutd_liverpool_h2_chunk_002_f10080,manutd_liverpool,h2_chunk_002,10080,0,0.96,Noussair Mazraoui,3,
022_manutd_liverpool_h2_chunk_003_f8645,manutd_liverpool,h2_chunk_003,8645,0,0.69,André Onana,3,
023_manutd_liverpool_h2_chunk_005_f2150,manutd_liverpool,h2_chunk_005,2150,0,1.14,Harry Maguire,3,
024_manutd_liverpool_h2_chunk_003_f4640,manutd_liverpool,h2_chunk_003,4640,0,2.04,WRONG_PLAYER_BOXED,3,should be mac allister boxed but instead toby colleyer is
025_manutd_liverpool_h2_chunk_001_f320,manutd_liverpool,h2_chunk_001,320,1,1.34,Ibrahima Konaté,3,
026_manutd_liverpool_h2_chunk_000_f10955,manutd_liverpool,h2_chunk_000,10955,1,0.87,Diogo Dalot,3,
027_manutd_liverpool_h2_chunk_002_f11370,manutd_liverpool,h2_chunk_002,11370,0,0.77,WRONG_PLAYER_BOXED,3,
028_manutd_liverpool_h2_chunk_000_f14855,manutd_liverpool,h2_chunk_000,14855,0,0.52,Ryan Gravenberch,3,
029_manutd_liverpool_h2_chunk_003_f4365,manutd_liverpool,h2_chunk_003,4365,1,1.64,Conor Bradley,2,
030_manutd_tottenham_h1_chunk_001_f13835,manutd_tottenham,h1_chunk_001,13835,1,0.68,Cristian Romero,1,
031_manutd_tottenham_h1_chunk_003_f7120,manutd_tottenham,h1_chunk_003,7120,1,2.81,WRONG_PLAYER_BOXED,3,
032_manutd_tottenham_h1_chunk_002_f12580,manutd_tottenham,h1_chunk_002,12580,1,0.77,Cristian Romero,3,
033_manutd_tottenham_h1_chunk_004_f1575,manutd_tottenham,h1_chunk_004,1575,0,1.8,WRONG_PLAYER_BOXED,3,
034_manutd_tottenham_h1_chunk_003_f8410,manutd_tottenham,h1_chunk_003,8410,0,0.69,Guglielmo Vicario,3,
035_manutd_tottenham_h1_chunk_004_f11825,manutd_tottenham,h1_chunk_004,11825,0,0.74,Rodrigo Bentancur,3,
036_manutd_tottenham_h1_chunk_001_f6125,manutd_tottenham,h1_chunk_001,6125,1,2.03,WRONG_PLAYER_BOXED,3,
037_manutd_tottenham_h1_chunk_000_f9695,manutd_tottenham,h1_chunk_000,9695,0,2.12,WRONG_PLAYER_BOXED,3,
038_manutd_tottenham_h1_chunk_000_f640,manutd_tottenham,h1_chunk_000,640,1,1.02,Micky van de Ven,3,
039_manutd_tottenham_h1_chunk_001_f2485,manutd_tottenham,h1_chunk_001,2485,0,2.48,NOT_A_PASS,3,
040_manutd_tottenham_h1_chunk_000_f1980,manutd_tottenham,h1_chunk_000,1980,1,0.88,Micky van de Ven,3,
041_manutd_tottenham_h1_chunk_001_f11975,manutd_tottenham,h1_chunk_001,11975,0,1.17,NOT_A_PASS,3,
042_manutd_tottenham_h1_chunk_003_f1435,manutd_tottenham,h1_chunk_003,1435,1,1.63,UNKNOWN,3,
043_manutd_tottenham_h1_chunk_002_f4175,manutd_tottenham,h1_chunk_002,4175,1,0.73,NOT_A_PASS,3,
044_manutd_tottenham_h1_chunk_002_f12075,manutd_tottenham,h1_chunk_002,12075,0,2.51,NOT_A_PASS,3,
045_manutd_tottenham_h2_chunk_000_f8415,manutd_tottenham,h2_chunk_000,8415,0,0.8,NOT_A_PASS,3,
046_manutd_tottenham_h2_chunk_004_f5840,manutd_tottenham,h2_chunk_004,5840,0,0.49,Noussair Mazraoui,3,
047_manutd_tottenham_h2_chunk_004_f3570,manutd_tottenham,h2_chunk_004,3570,0,1.08,Guglielmo Vicario,3,
048_manutd_tottenham_h2_chunk_000_f3960,manutd_tottenham,h2_chunk_000,3960,1,1.71,WRONG_PLAYER_BOXED,3,
049_manutd_tottenham_h2_chunk_002_f4220,manutd_tottenham,h2_chunk_002,4220,1,0.53,Guglielmo Vicario,3,
050_manutd_tottenham_h2_chunk_000_f4100,manutd_tottenham,h2_chunk_000,4100,0,0.48,Lisandro Martínez,3,
051_manutd_tottenham_h2_chunk_000_f8055,manutd_tottenham,h2_chunk_000,8055,1,0.33,Micky van de Ven,3,
052_manutd_tottenham_h2_chunk_003_f11015,manutd_tottenham,h2_chunk_003,11015,0,1.5,WRONG_PLAYER_BOXED,3,
053_manutd_tottenham_h2_chunk_001_f5440,manutd_tottenham,h2_chunk_001,5440,1,1.03,James Maddison,2,
054_manutd_tottenham_h2_chunk_002_f5940,manutd_tottenham,h2_chunk_002,5940,0,2.88,NOT_A_PASS,3,
055_manutd_tottenham_h2_chunk_002_f11140,manutd_tottenham,h2_chunk_002,11140,0,0.74,Marcus Rashford,3,
056_manutd_tottenham_h2_chunk_004_f3650,manutd_tottenham,h2_chunk_004,3650,0,0.77,Dejan Kulusevski,3,
057_manutd_tottenham_h2_chunk_004_f6645,manutd_tottenham,h2_chunk_004,6645,0,0.7,Alejandro Garnacho,3,
058_manutd_tottenham_h2_chunk_004_f150,manutd_tottenham,h2_chunk_004,150,1,0.78,Cristian Romero,3,
059_manutd_tottenham_h2_chunk_004_f13820,manutd_tottenham,h2_chunk_004,13820,1,0.37,Cristian Romero,3,
060_manutd_brighton_h1_chunk_003_f1230,manutd_brighton,h1_chunk_003,1230,1,0.62,UNKNOWN,3,
061_manutd_brighton_h1_chunk_001_f6000,manutd_brighton,h1_chunk_001,6000,0,1.25,Leny Yoro,3,
062_manutd_brighton_h1_chunk_001_f495,manutd_brighton,h1_chunk_001,495,0,2.07,Leny Yoro,3,
063_manutd_brighton_h1_chunk_001_f12825,manutd_brighton,h1_chunk_001,12825,0,0.99,Leny Yoro,3,
064_manutd_brighton_h1_chunk_001_f14070,manutd_brighton,h1_chunk_001,14070,0,0.7,WRONG_PLAYER_BOXED,3,
065_manutd_brighton_h1_chunk_004_f10125,manutd_brighton,h1_chunk_004,10125,0,0.87,NOT_A_PASS,3,
066_manutd_brighton_h1_chunk_001_f9710,manutd_brighton,h1_chunk_001,9710,0,1.08,Manuel Ugarte,3,
067_manutd_brighton_h1_chunk_001_f7630,manutd_brighton,h1_chunk_001,7630,0,2.83,WRONG_PLAYER_BOXED,3,
068_manutd_brighton_h1_chunk_002_f14515,manutd_brighton,h1_chunk_002,14515,0,0.43,Manuel Ugarte,3,
069_manutd_brighton_h1_chunk_002_f5835,manutd_brighton,h1_chunk_002,5835,0,0.66,Yankuba Minteh,1,
070_manutd_brighton_h1_chunk_002_f6790,manutd_brighton,h1_chunk_002,6790,1,0.25,Carlos Baleba,3,
071_manutd_brighton_h1_chunk_003_f1625,manutd_brighton,h1_chunk_003,1625,1,2.22,Lewis Dunk,3,
072_manutd_brighton_h1_chunk_001_f13340,manutd_brighton,h1_chunk_001,13340,1,0.96,WRONG_PLAYER_BOXED,3,
073_manutd_brighton_h1_chunk_004_f2415,manutd_brighton,h1_chunk_004,2415,1,0.71,Lewis Dunk,3,
074_manutd_brighton_h1_chunk_000_f14010,manutd_brighton,h1_chunk_000,14010,0,1.87,Matthijs de Ligt,3,
075_manutd_brighton_h2_chunk_001_f10290,manutd_brighton,h2_chunk_001,10290,0,0.52,Manuel Ugarte,3,
076_manutd_brighton_h2_chunk_005_f1015,manutd_brighton,h2_chunk_005,1015,1,0.64,André Onana,3,
077_manutd_brighton_h2_chunk_001_f225,manutd_brighton,h2_chunk_001,225,1,0.76,Lewis Dunk,1,
078_manutd_brighton_h2_chunk_005_f250,manutd_brighton,h2_chunk_005,250,0,2.9,Bruno Fernandes,3,
079_manutd_brighton_h2_chunk_000_f5450,manutd_brighton,h2_chunk_000,5450,1,1.07,Lewis Dunk,3,
080_manutd_brighton_h2_chunk_004_f9700,manutd_brighton,h2_chunk_004,9700,1,0.53,UNKNOWN,3,
081_manutd_brighton_h2_chunk_003_f1570,manutd_brighton,h2_chunk_003,1570,0,0.4,Toby Collyer,3,
082_manutd_brighton_h2_chunk_000_f6180,manutd_brighton,h2_chunk_000,6180,1,0.17,Jan Paul van Hecke,3,
083_manutd_brighton_h2_chunk_003_f13010,manutd_brighton,h2_chunk_003,13010,0,0.37,Harry Maguire,3,
084_manutd_brighton_h2_chunk_002_f9710,manutd_brighton,h2_chunk_002,9710,1,0.83,Yasin Ayari,3,
085_manutd_brighton_h2_chunk_005_f3595,manutd_brighton,h2_chunk_005,3595,1,0.52,Joël Veltman,3,
086_manutd_brighton_h2_chunk_005_f3885,manutd_brighton,h2_chunk_005,3885,0,0.64,Rasmus Højlund,3,
087_manutd_brighton_h2_chunk_005_f3930,manutd_brighton,h2_chunk_005,3930,0,1.43,Bruno Fernandes,3,
088_manutd_brighton_h2_chunk_004_f12750,manutd_brighton,h2_chunk_004,12750,0,1.13,UNKNOWN,3,
089_manutd_brighton_h2_chunk_004_f410,manutd_brighton,h2_chunk_004,410,1,0.86,Carlos Baleba,3,
